Variação_12_Meses_(%)_data,Variação_12_Meses_(%)_port1,Variação_12_Meses_(%)_port4,Variação_12_Meses_(%)_port8
2012-07-25,12.2583,13.0494,19.1766
2012-07-26,12.4764,13.6309,19.7783
2012-07-27,12.6835,14.1694,20.0682
2012-07-30,12.6441,14.084,19.9087
2012-07-31,12.6184,14.0727,19.9751
2012-08-01,12.6825,14.1302,19.7151
2012-08-02,12.6594,14.0898,19.67
2012-08-03,12.7238,14.2882,19.7017
2012-08-06,12.8294,14.4905,19.7514
2012-08-07,12.6704,14.1227,19.4642
2012-08-08,12.7924,14.2368,19.1266
2012-08-09,12.8109,14.2989,19.285
2012-08-10,12.8491,14.4539,19.3753
2012-08-13,12.9215,14.652,19.5238
2012-08-14,12.7947,14.5049,19.8117
2012-08-15,12.8008,14.627,20.2738
2012-08-16,12.7866,14.6874,20.0931
2012-08-17,12.8963,14.965,20.6076
2012-08-20,12.9745,15.1687,20.5144
2012-08-21,13.338,15.9459,21.3536
2012-08-22,13.3367,15.8819,21.1516
2012-08-23,13.7814,16.8794,22.3429
2012-08-24,13.3854,16.0239,21.3107
2012-08-27,13.3878,16.1394,22.0958
2012-08-28,13.2137,15.8116,21.8378
2012-08-29,13.0138,15.5224,21.8271
2012-08-30,12.7677,14.9034,20.6566
2012-08-31,12.7635,15.0361,21.1319
2012-09-04,12.5864,14.6917,21.0915
2012-09-05,12.8137,15.2558,21.7878
2012-09-06,12.9905,15.7849,22.4754
2012-09-10,12.9307,15.7394,22.4039
2012-09-11,12.7907,15.4675,21.7989
2012-09-12,12.8141,15.5241,21.7066
2012-09-13,13.092,16.169,22.3482
2012-09-14,12.5197,15.1942,21.1667
2012-09-17,12.4364,15.0492,21.0921
2012-09-19,12.2033,14.7064,20.9811
2012-09-20,11.7083,14.1188,20.9932
2012-09-21,11.989,14.6196,21.5746
2012-09-24,12.0006,14.6244,21.4955
2012-09-25,11.8712,14.2265,21.132
2012-09-26,11.9793,14.539,21.3834
2012-09-27,11.9194,14.4323,21.206
2012-09-28,11.8955,14.3575,21.1665
2012-10-01,11.8828,14.262,20.8488
2012-10-02,11.8563,14.1395,20.5436
2012-10-04,11.734,13.8509,20.5196
2012-10-05,12.0003,14.1869,20.8882
2012-10-08,12.1036,14.4574,20.9326
2012-10-09,12.2192,14.7351,21.6139
2012-10-10,12.4919,15.2878,22.049
2012-10-11,12.4529,15.2516,21.8539
2012-10-15,12.3092,14.9469,21.2554
2012-10-16,12.3234,14.9565,21.0857
2012-10-17,12.3797,15.2023,21.5805
2012-10-18,12.367,15.1157,21.4024
2012-10-19,12.368,15.139,21.4896
2012-10-22,12.4004,15.3618,21.8143
2012-10-23,12.373,15.1519,21.1809
2012-10-24,12.1943,14.83,20.7134
2012-10-25,12.0944,14.6062,20.2591
2012-10-26,12.1559,14.7727,20.408
2012-10-31,11.9904,14.312,19.9867
2012-11-01,12.0184,14.4064,20.0653
2012-11-05,11.941,14.1266,19.5369
2012-11-06,12.0208,14.2263,19.2991
2012-11-07,12.0519,14.2545,19.1942
2012-11-08,11.7612,13.5802,18.3649
2012-11-09,11.721,13.5085,18.3928
2012-11-12,11.8804,13.7046,18.3781
2012-11-13,11.6962,13.2981,17.6787
2012-11-14,11.3357,12.5997,17.2186
2012-11-16,11.3925,12.7025,17.6343
2012-11-19,11.3942,12.7684,17.8431
2012-11-21,11.1309,12.199,17.2317
2012-11-23,11.2707,12.5161,17.6385
2012-11-26,11.2872,12.5934,17.9073
2012-11-27,11.4724,12.8823,18.3776
2012-11-28,11.4042,12.7131,18.0994
2012-11-29,11.4733,12.9133,18.4148
2012-11-30,11.4241,12.7246,18.2393
2012-12-03,11.532,12.9458,18.3351
2012-12-04,11.6353,13.2634,18.9911
2012-12-05,11.6813,13.322,18.8363
2012-12-06,11.6856,13.2127,18.7334
2012-12-07,11.7409,13.4356,19.0432
2012-12-10,11.7183,13.482,19.1887
2012-12-11,11.9117,13.8855,19.5299
2012-12-12,11.9557,13.9017,19.3767
2012-12-13,12.0842,14.1909,19.9606
2012-12-14,12.1901,14.3601,20.0601
2012-12-17,12.2666,14.5812,20.4352
2012-12-18,12.2402,14.6991,20.6747
2012-12-19,12.1799,14.458,20.1751
2012-12-20,12.2024,14.5378,20.0448
2012-12-26,11.9471,13.9817,19.259
2012-12-27,11.8653,13.8321,19.5811
2012-12-28,11.9041,13.9293,19.4308
2013-01-02,12.0928,14.2957,20.1216
2013-01-03,12.1086,14.2719,19.9523
2013-01-04,12.0515,14.1425,19.6687
2013-01-07,12.1183,14.316,19.9007
2013-01-08,11.9568,13.9261,19.5304
2013-01-09,12.1107,14.2697,19.8955
2013-01-10,12.1335,14.3458,20.1974
2013-01-11,12.2112,14.5141,20.3453
2013-01-14,12.291,14.6737,20.3118
