CDI,IBOV,IHFA,IMAB5,IFIX,IRFM,SP500,data
,,,,,,,2010-12-30
,,,,,,,2011-01-03
,,,,,,,2011-01-04
,,,,,,,2011-01-05
,,,,,,,2011-01-06
,,,,,,,2011-01-07
,,,,,,,2011-01-10
,,,,,,,2011-01-11
,,,,,,,2011-01-12
,,,,,,,2011-01-13
,,,,,,,2011-01-14
,,,,,,,2011-01-18
,,,,,,,2011-01-19
,,,,,,,2011-01-20
,,,,,,,2011-01-21
,,,,,,,2011-01-24
,,,,,,,2011-01-26
,,,,,,,2011-01-27
,,,,,,,2011-01-28
,,,,,,,2011-01-31
,,,,,,,2011-02-01
,,,,,,,2011-02-02
,,,,,,,2011-02-03
,,,,,,,2011-02-04
,,,,,,,2011-02-07
,,,,,,,2011-02-08
,,,,,,,2011-02-09
,,,,,,,2011-02-10
,,,,,,,2011-02-11
,,,,,,,2011-02-14
,,,,,,,2011-02-15
,,,,,,,2011-02-16
,,,,,,,2011-02-17
,,,,,,,2011-02-18
,,,,,,,2011-02-22
,,,,,,,2011-02-23
,,,,,,,2011-02-24
,,,,,,,2011-02-25
,,,,,,,2011-02-28
,,,,,,,2011-03-01
,,,,,,,2011-03-02
,,,,,,,2011-03-03
,,,,,,,2011-03-04
,,,,,,,2011-03-09
,,,,,,,2011-03-10
,,,,,,,2011-03-11
,,,,,,,2011-03-14
,,,,,,,2011-03-15
,,,,,,,2011-03-16
,,,,,,,2011-03-17
,,,,,,,2011-03-18
,,,,,,,2011-03-21
,,,,,,,2011-03-22
,,,,,,,2011-03-23
,,,,,,,2011-03-24
,,,,,,,2011-03-25
,,,,,,,2011-03-28
,,,,,,,2011-03-29
,,,,,,,2011-03-30
,,,,,,,2011-03-31
,,,,,,,2011-04-01
,,,,,,,2011-04-04
,,,,,,,2011-04-05
,,,,,,,2011-04-06
,,,,,,,2011-04-07
,,,,,,,2011-04-08
0.1529,17.0851,1.4509,1.3688,7.685,1.4248,12.4286,2011-04-11
0.1358,17.3519,1.469,1.3599,8.0085,1.4043,12.3698,2011-04-12
0.1356,17.3464,1.4716,1.3603,7.917,1.4066,12.3647,2011-04-13
0.1353,17.1927,1.4568,1.3637,7.9318,1.3961,12.3329,2011-04-14
0.1351,17.2045,1.4626,1.3695,7.9358,1.3973,12.3406,2011-04-15
0.1348,17.5303,1.4621,1.364,8.1484,1.342,12.54,2011-04-18
0.1345,17.6914,1.464,1.3442,8.1226,1.3028,12.5776,2011-04-19
0.1343,17.8875,1.4651,1.3523,7.9653,1.2932,12.8146,2011-04-20
0.134,17.5369,1.4769,1.4003,7.7323,1.3111,12.7228,2011-04-25
0.1337,17.3931,1.4786,1.3745,7.0271,1.3248,12.8186,2011-04-26
0.1334,17.5428,1.4772,1.365,7.1681,1.288,12.7979,2011-04-27
0.1133,17.6102,1.4789,1.3666,7.1594,1.291,12.8093,2011-04-28
0.113,17.5423,1.5035,1.3681,7.2587,1.2905,12.6278,2011-04-29
0.1129,17.5947,1.5042,1.3784,7.2428,1.2909,12.6312,2011-05-02
0.1128,17.8676,1.5294,1.3787,7.3863,1.2907,12.6556,2011-05-03
0.1127,17.9392,1.5388,1.2727,7.4034,1.2823,12.7051,2011-05-04
0.0812,17.8536,1.5468,1.2696,7.413,1.277,12.8233,2011-05-05
0.0811,18.0791,1.5478,1.3139,7.3968,1.2843,12.8355,2011-05-06
0.081,17.6858,1.5369,1.3043,7.4286,1.2892,12.3228,2011-05-09
0.0809,17.7045,1.5372,1.3042,7.3342,1.2678,12.3319,2011-05-10
0.0808,17.5796,1.5477,1.3046,7.3033,1.2703,12.1486,2011-05-11
0.0807,17.2998,1.5474,1.2981,7.3095,1.2352,12.1638,2011-05-12
0.0806,17.4397,1.5508,1.2928,7.3282,1.2224,12.2734,2011-05-13
0.0805,16.9336,1.529,1.2635,7.0836,1.1833,12.3295,2011-05-16
0.0804,17.1471,1.5294,1.2599,6.7684,1.1831,12.2721,2011-05-17
0.0803,17.2748,1.4818,1.2491,6.7202,1.0641,12.3634,2011-05-18
0.0801,16.7088,1.4269,1.2555,7.0419,1.0684,12.3552,2011-05-19
0.08,16.6861,1.4231,1.2679,7.1208,1.0389,12.4525,2011-05-20
0.0799,16.2876,1.4531,1.2639,6.8471,1.036,12.6283,2011-05-23
