data,Variação_Diária_(%)
2003-09-16,
2003-09-17,0.00012801531574627934
2003-09-18,0.001544385308817514
2003-09-19,0.003058505147715768
2003-09-22,0.002178727047900941
2003-09-23,0.0017935083209373033
2003-09-24,0.0008557797365588829
2003-09-25,0.0007743839261784344
2003-09-26,0.0007111865323812637
2003-09-29,0.0006650990452884799
2003-09-30,0.0007485562569304066
2003-10-01,0.0007252713713759731
2003-10-02,0.0007913613402941245
2003-10-03,0.0010255252520646652
2003-10-06,0.0023327155977852228
2003-10-07,0.0020337365038521128
2003-10-08,0.001116762871522281
2003-10-09,0.0019745488242389315
2003-10-10,0.0007310799132025538
2003-10-13,0.0009664659130054803
2003-10-14,0.001101587961402206
2003-10-15,0.0009878357722804202
2003-10-16,0.0014374845704586466
2003-10-17,0.0012574916948648442
2003-10-20,0.001399138434510177
2003-10-21,0.0008829741894314082
2003-10-22,0.0007502403754107958
2003-10-23,0.0005860205937863503
2003-10-24,0.0007218855279158602
2003-10-27,0.0005060848344423746
2003-10-28,0.0004284019407331615
2003-10-29,0.0008161436045425555
2003-10-30,0.0005921109527918947
2003-10-31,0.0008386369735975134
2003-11-03,0.0005916871083757604
2003-11-04,0.0005812520479601258
2003-11-05,0.0005479855175913124
2003-11-06,-0.0008001186146970171
2003-11-07,0.000534717868412519
2003-11-10,0.0005590014417808753
2003-11-11,0.00044873612150456106
2003-11-12,0.0005206508797638274
2003-11-13,0.0005096019176697671
2003-11-14,0.00029658387258330997
2003-11-17,0.0006137357972374374
2003-11-18,0.0005963987295675816
2003-11-19,0.00060621386233883
2003-11-20,0.008315663981751832
2003-11-21,0.0020726244531859184
2003-11-24,0.0031803420989220594
2003-11-25,0.010366533792459902
2003-11-26,0.0019997907576600497
2003-11-27,0.005274822292897909
2003-11-28,0.0034239025657781625
2003-12-01,0.003543556701019855
2003-12-02,0.001363509795210687
2003-12-03,0.002222209768170321
2003-12-04,0.00414272694744054
2003-12-05,0.0024829025681475723
2003-12-08,0.0017479558526564897
2003-12-09,0.0015584654777764748
2003-12-10,0.005086807603184114
2003-12-11,0.002600118175830425
2003-12-12,0.0022839824722110393
2003-12-15,0.001127675223098743
2003-12-16,0.0013705164384042283
2003-12-17,0.0011961348929032949
2003-12-18,0.0009483977245082422
2003-12-19,8.053771990911723e-05
2003-12-22,0.0018100695285058418
2003-12-23,0.0010138767046021847
2003-12-24,0.0008815162970740379
2003-12-26,0.0009692862715804301
2003-12-29,0.0012642306880949136
2003-12-30,0.0009901538437300007
2003-12-31,0.0005705926519533778
2004-01-02,0.0007993736881402757
2004-01-05,0.0009568684565215575
2004-01-06,0.0011779071011787999
2004-01-07,0.003434176689402454
2004-01-08,0.009826731815694021
2004-01-09,0.004707404303150567
2004-01-12,0.003826302032511351
2004-01-13,0.005144626730048138
2004-01-14,0.007190729967129662
2004-01-15,0.0032631757727635815
2004-01-16,0.002207848013470307
2004-01-19,0.0012526927929518792
2004-01-20,0.00520845396471544
2004-01-21,0.001228119164834951
2004-01-22,0.0002016247468129944
2004-01-23,0.0005441088234226798
2004-01-26,0.0026696577699663517
2004-01-27,0.0006184217838987557
2004-01-28,0.0015928978088052732
2004-01-29,0.00048137639770588477
2004-01-30,0.0007186814924881713
2004-02-02,0.0009231071903419202
2004-02-03,0.0004595167175695244
2004-02-04,0.0007347367508787036
2004-02-05,0.00046778418602966276
2004-02-06,0.000700682455255809
2004-02-09,0.0016515970110629412
2004-02-10,0.0005236517766602775
2004-02-11,0.0008418732001245106
2004-02-12,0.0009010682518153018
2004-02-13,0.0009830761850755376
2004-02-16,0.0004288681112922514
2004-02-17,0.000922281240793633
2004-02-18,0.001057961514860787
2004-02-19,0.0005168564370107004
2004-02-20,0.0006011877826268223
2004-02-25,0.0010810576166146054
2004-02-26,0.000989995884371938
2004-02-27,0.0006326278694780582
2004-03-01,0.0010479347852241794
2004-03-02,0.0008008287938172751
2004-03-03,0.0008041310758983968
2004-03-04,0.0012134132465662936
2004-03-05,0.0010902637289693106
2004-03-08,0.00042312511574504587
2004-03-09,0.0009060817193300641
2004-03-10,0.0011930679063876018
2004-03-11,-0.0007212516666139085
2004-03-12,0.0007984026415774676
2004-03-15,0.0006748107109713355
2004-03-16,0.0004998734724951697
2004-03-17,0.0005640049977706753
2004-03-18,0.00048743909471459125
2004-03-19,0.000547382945862283
2004-03-22,0.0005415235147238492
2004-03-23,0.0005040823507720881
2004-03-24,0.0005974179307449662
2004-03-25,0.0005683252519537
2004-03-26,0.0004745576649318242
2004-03-29,0.0004997505472869459
2004-03-30,0.0005504520164938643
2004-03-31,0.00044679628152192655
2004-04-01,0.0004466012621544549
2004-04-02,0.0004935823183144155
2004-04-05,0.0005117363501721187
2004-04-06,0.0006988612877865203
2004-04-07,0.0008283154147808443
2004-04-08,0.000588991418633878
2004-04-12,0.000544701843534394
2004-04-13,0.0003817922156613351
2004-04-14,0.00023442905191781315
2004-04-15,0.0006164319148919601
2004-04-16,0.0005398543687462148
2004-04-19,0.0005186067930209205
2004-04-20,0.0006628573474362425
2004-04-22,0.0008174615907142925
2004-04-23,0.00064770624712647
2004-04-26,0.0005882359624277416
2004-04-27,0.00027010480193187585
2004-04-28,-0.00010873250809852857
2004-04-29,0.0004208077438258829
2004-04-30,0.00026171254786896476
2004-05-03,0.00014356137124142625
2004-05-04,-1.0337158888210868e-06
2004-05-05,2.3825537234604716e-05
2004-05-06,-0.0002900339965998793
2004-05-07,0.00050352226021904
2004-05-10,0.0006919692117249221
2004-05-11,-0.0001198292587632983
