Variação_Diária_(%),data
0.0,2010-12-30
0.2543,2011-01-03
-0.0241,2011-01-04
0.2164,2011-01-05
-0.0835,2011-01-06
-0.0884,2011-01-07
-0.0591,2011-01-10
0.0572,2011-01-11
0.1482,2011-01-12
0.0776,2011-01-13
0.0566,2011-01-14
0.0241,2011-01-18
-0.1561,2011-01-19
-0.0115,2011-01-20
-0.0582,2011-01-21
0.0282,2011-01-24
-0.0674,2011-01-26
-0.0897,2011-01-27
-0.2611,2011-01-28
0.0976,2011-01-31
0.2986,2011-02-01
-0.0947,2011-02-02
0.0337,2011-02-03
-0.1461,2011-02-04
-0.013,2011-02-07
0.1907,2011-02-08
-0.2248,2011-02-09
0.0378,2011-02-10
0.3414,2011-02-11
0.0741,2011-02-14
0.0302,2011-02-15
0.2815,2011-02-16
0.0889,2011-02-17
0.0345,2011-02-18
-0.3031,2011-02-22
0.0469,2011-02-23
0.0344,2011-02-24
0.0568,2011-02-25
0.1658,2011-02-28
-0.1553,2011-03-01
0.1789,2011-03-02
0.216,2011-03-03
0.063,2011-03-04
-0.101,2011-03-09
-0.1464,2011-03-10
0.0787,2011-03-11
0.1181,2011-03-14
-0.1565,2011-03-15
-0.1977,2011-03-16
0.0648,2011-03-17
0.253,2011-03-18
0.0446,2011-03-21
0.2237,2011-03-22
0.2,2011-03-23
0.0126,2011-03-24
0.1263,2011-03-25
-0.0145,2011-03-28
0.0502,2011-03-29
0.2699,2011-03-30
0.1386,2011-03-31
0.3122,2011-04-01
0.1148,2011-04-04
0.0192,2011-04-05
-0.041,2011-04-06
0.1053,2011-04-07
-0.1172,2011-04-08
-0.0956,2011-04-11
-0.0576,2011-04-12
-0.0866,2011-04-13
0.0866,2011-04-14
0.1704,2011-04-15
-0.3362,2011-04-18
0.1758,2011-04-19
0.2421,2011-04-20
-0.0564,2011-04-25
0.121,2011-04-26
0.0216,2011-04-27
-0.0271,2011-04-28
0.0921,2011-04-29
-0.0347,2011-05-02
-0.2504,2011-05-03
-0.1101,2011-05-04
-0.0517,2011-05-05
0.2447,2011-05-06
0.0852,2011-05-09
0.1528,2011-05-10
-0.1993,2011-05-11
0.085,2011-05-12
-0.1609,2011-05-13
0.0011,2011-05-16
0.1735,2011-05-17
-0.1173,2011-05-18
-0.1599,2011-05-19
0.0624,2011-05-20
-0.1199,2011-05-23
0.2166,2011-05-24
0.0628,2011-05-25
0.2039,2011-05-26
0.1288,2011-05-27
0.1678,2011-05-31
-0.329,2011-06-01
0.1861,2011-06-02
