data,Variação_Diária_(%)
2003-09-16,
2003-09-17,0.00025551997339900073
2003-09-18,0.0023131219547153498
2003-09-19,0.0019565732006349822
2003-09-22,0.001366712912051927
2003-09-23,0.0018021003681636797
2003-09-24,0.0016056369737249608
2003-09-25,0.0002188686272174426
2003-09-26,0.0009585180775892353
2003-09-29,0.001096629396452346
2003-09-30,0.000520207547743434
2003-10-01,0.0008739587037303297
2003-10-02,0.00042118905500222
2003-10-03,0.0009493195783677788
2003-10-06,0.0014501216900869509
2003-10-07,0.0026386141859142597
2003-10-08,0.0006230430422436414
2003-10-09,0.0018587355167726679
2003-10-10,0.0008186099439415986
2003-10-13,0.0010105234783273445
2003-10-14,0.000744987096846225
2003-10-15,0.0007808248033033069
2003-10-16,0.0008032093131032688
2003-10-17,0.0006547289744286484
2003-10-20,0.0010498494712292497
2003-10-21,0.000650975847292299
2003-10-22,0.0003254920455080926
2003-10-23,0.00047934381075123413
2003-10-24,0.0006428804624070798
2003-10-27,0.0006394390928356888
2003-10-28,0.0005458289644798029
2003-10-29,0.0006760457067729348
2003-10-30,0.0006573832455138551
2003-10-31,0.000577981360046693
2003-11-03,0.0005594088070343562
2003-11-04,0.0005343531964831578
2003-11-05,0.0006155525410253467
2003-11-06,-0.0008147919940908907
2003-11-07,0.0005443533061141322
2003-11-10,0.0005073702839678145
2003-11-11,0.0005321235636560422
2003-11-12,0.0004995051543577318
2003-11-13,0.000497208183958662
2003-11-14,0.0006257178872988794
2003-11-17,0.0004085235441111953
2003-11-18,0.0007118813001631218
2003-11-19,0.0006846424783690196
2003-11-20,0.003850717995858957
2003-11-21,0.0007485707604647667
2003-11-24,0.0018066873409549465
2003-11-25,0.0027129514971856394
2003-11-26,0.0013487385537928427
2003-11-27,0.002936803658930068
2003-11-28,0.0008605005500374591
2003-12-01,0.0019164035445826686
2003-12-02,0.00034540224464863357
2003-12-03,0.0008320443550076024
2003-12-04,0.00141955433059191
2003-12-05,0.0024442000569785106
2003-12-08,0.0012503440313771559
2003-12-09,0.0027431432696464566
2003-12-10,0.001506680566210889
2003-12-11,0.0023915095754478695
2003-12-12,0.0009485003238858068
2003-12-15,0.0008408259315743463
2003-12-16,0.0006130115959271378
2003-12-17,0.0005960437183344358
2003-12-18,0.0005382046513959349
2003-12-19,0.0006417847069625298
2003-12-22,0.0005338007176267312
2003-12-23,0.00055216210302141
2003-12-24,0.0005469728559320297
2003-12-26,0.0005962519059020821
2003-12-29,0.0005552441251964949
2003-12-30,0.0005518446944839967
2003-12-31,0.000565233025638059
2004-01-02,0.0005615880930502661
2004-01-05,0.0005754910458909331
2004-01-06,0.0013450009779395217
2004-01-07,0.001590726333528217
2004-01-08,0.0035446705358348775
2004-01-09,0.002487698362903137
2004-01-12,0.001948200370058278
2004-01-13,0.004098997111701766
2004-01-14,0.0023267364578268045
2004-01-15,0.0016025384386300968
2004-01-16,0.0006058801571408474
2004-01-19,0.0006687665481111555
2004-01-20,0.002041970017527788
2004-01-21,0.001016732851062931
2004-01-22,-0.0019039994028847245
2004-01-23,0.0001846755894806333
2004-01-26,0.0019193749340462275
2004-01-27,0.001447242443504196
2004-01-28,0.0005092022098756624
2004-01-29,0.0006912211912791381
2004-01-30,0.0006582134139671362
2004-02-02,0.0004199908927874163
2004-02-03,0.0007382260902737526
2004-02-04,0.0005405616117444835
2004-02-05,0.00041000525940349046
2004-02-06,0.0008574240312591798
2004-02-09,0.0006386853826726907
2004-02-10,0.0008171127218982874
2004-02-11,0.0007859106013059756
2004-02-12,0.0007521612354132658
2004-02-13,0.000652098787743257
2004-02-16,0.00028560608077444387
2004-02-17,0.0008676035106474226
2004-02-18,0.0007417567755809285
2004-02-19,0.0005988145088531985
2004-02-20,0.0006928678277705195
2004-02-25,0.0008709709480584987
2004-02-26,0.0006878918331122597
2004-02-27,0.0006281272018613797
2004-03-01,0.0008312411464424711
2004-03-02,0.0008656187191719433
2004-03-03,0.0006386135528258504
2004-03-04,0.0008449548334845971
2004-03-05,0.0007781764829036586
2004-03-08,0.0008269076784285713
2004-03-09,0.0005207707791622213
2004-03-10,0.0009382013204753389
2004-03-11,-0.00031345257007436183
2004-03-12,0.0005052907397776177
2004-03-15,0.0005411943719646552
2004-03-16,0.0003004841849013335
2004-03-17,0.00048015924294951654
2004-03-18,0.0004969839561457788
2004-03-19,0.0004982278597341911
2004-03-22,0.0005153454592092268
2004-03-23,0.0005639949804842053
2004-03-24,0.0005221804658624503
2004-03-25,0.0005113889161527264
2004-03-26,0.0005057014205990629
2004-03-29,0.00048671413480759674
2004-03-30,0.000514692147746527
2004-03-31,0.0005138398783416293
2004-04-01,0.0005128119470218882
2004-04-02,0.00033334743207977247
2004-04-05,0.0006586779743473591
2004-04-06,0.0005457829479054352
2004-04-07,0.0008247174441172375
2004-04-08,0.0005319592221054063
2004-04-12,0.0005449345460406704
2004-04-13,0.0005166746428700187
2004-04-14,0.0005297965662925784
2004-04-15,0.0005313612946381282
2004-04-16,0.0005510875632248961
2004-04-19,0.0004125851647555769
2004-04-20,0.0005608751284898206
2004-04-22,0.0006867147204582106
2004-04-23,0.0006292593224962486
2004-04-26,0.000584058651535004
2004-04-27,-0.0004169168418356886
2004-04-28,3.036392895210582e-05
2004-04-29,0.0004334249079422539
2004-04-30,0.00029126301108400485
2004-05-03,0.00018226145050071426
2004-05-04,-0.00038529979168869195
2004-05-05,0.0006802222752012308
2004-05-06,0.00021474580945867708
2004-05-07,0.00046189386857584314
2004-05-10,0.00046546577347140685
2004-05-11,0.0004409137058842763
