Variação_Diária_(%),data
0.1603,2012-01-31
0.1433,2012-02-01
0.2667,2012-02-02
0.3594,2012-02-03
0.0018,2012-02-06
0.0414,2012-02-07
0.2627,2012-02-08
-0.0326,2012-02-09
-0.0333,2012-02-10
0.4929,2012-02-13
-0.0274,2012-02-14
-0.0102,2012-02-15
0.3651,2012-02-16
0.2812,2012-02-17
0.1377,2012-02-22
0.0501,2012-02-23
-0.0379,2012-02-24
0.0764,2012-02-27
0.3542,2012-02-29
0.1266,2012-03-01
0.0394,2012-03-02
-0.03,2012-03-05
-0.3223,2012-03-06
0.4056,2012-03-07
0.5259,2012-03-08
0.2152,2012-03-09
0.2389,2012-03-12
0.5742,2012-03-13
-0.0554,2012-03-14
0.2306,2012-03-15
-0.0439,2012-03-16
0.1271,2012-03-19
0.1749,2012-03-20
0.165,2012-03-21
-0.1963,2012-03-22
0.1899,2012-03-23
0.0422,2012-03-26
0.0414,2012-03-27
-0.0813,2012-03-28
0.1659,2012-03-29
-0.1521,2012-03-30
0.3627,2012-04-02
0.0358,2012-04-03
-0.1973,2012-04-04
0.1191,2012-04-05
-0.057,2012-04-09
-0.4291,2012-04-10
0.1198,2012-04-11
0.5167,2012-04-12
-0.3059,2012-04-13
-0.0589,2012-04-16
0.4486,2012-04-17
-0.0641,2012-04-18
0.0511,2012-04-19
-0.0563,2012-04-20
-0.1306,2012-04-23
0.009,2012-04-24
0.5185,2012-04-25
0.0902,2012-04-26
0.2625,2012-04-27
-0.0966,2012-04-30
0.2546,2012-05-02
0.0222,2012-05-03
-0.1145,2012-05-04
0.1768,2012-05-07
-0.1215,2012-05-08
-0.2486,2012-05-09
0.1686,2012-05-10
-0.0481,2012-05-11
-0.236,2012-05-14
0.1121,2012-05-15
-0.1135,2012-05-16
-0.2789,2012-05-17
-0.0856,2012-05-18
0.303,2012-05-21
-0.3177,2012-05-22
0.1758,2012-05-23
-0.0706,2012-05-24
0.0885,2012-05-25
0.7197,2012-05-29
-0.2762,2012-05-30
0.3344,2012-05-31
-0.1729,2012-06-01
0.1332,2012-06-04
0.1547,2012-06-05
0.5068,2012-06-06
0.3792,2012-06-08
-0.0816,2012-06-11
0.3172,2012-06-12
-0.0243,2012-06-13
0.3184,2012-06-14
0.16,2012-06-15
0.1977,2012-06-18
0.2041,2012-06-19
0.0153,2012-06-20
-0.4314,2012-06-21
0.3041,2012-06-22
-0.3259,2012-06-25
0.2287,2012-06-26
0.0296,2012-06-27
-0.0312,2012-06-28
0.6843,2012-06-29
0.3309,2012-07-02
0.3257,2012-07-03
-0.007,2012-07-05
-0.2246,2012-07-06
0.2564,2012-07-10
0.2716,2012-07-11
