Variação_Diária_(%),data
0.0,2010-12-30
0.1483,2011-01-03
0.0369,2011-01-04
0.1325,2011-01-05
-0.0065,2011-01-06
-0.0251,2011-01-07
0.0035,2011-01-10
0.0681,2011-01-11
0.1308,2011-01-12
0.0474,2011-01-13
0.0326,2011-01-14
0.058,2011-01-18
-0.0465,2011-01-19
0.0059,2011-01-20
-0.0186,2011-01-21
-0.0093,2011-01-24
0.0166,2011-01-26
-0.0079,2011-01-27
-0.0732,2011-01-28
0.0552,2011-01-31
0.1696,2011-02-01
-0.0246,2011-02-02
0.0304,2011-02-03
-0.0973,2011-02-04
0.0203,2011-02-07
0.1455,2011-02-08
-0.1058,2011-02-09
0.0425,2011-02-10
0.1559,2011-02-11
0.0602,2011-02-14
0.0201,2011-02-15
0.1644,2011-02-16
0.0618,2011-02-17
0.0598,2011-02-18
-0.0885,2011-02-22
0.0595,2011-02-23
0.0014,2011-02-24
0.0429,2011-02-25
0.1118,2011-02-28
-0.0138,2011-03-01
0.1161,2011-03-02
0.1274,2011-03-03
0.0406,2011-03-04
-0.0118,2011-03-09
-0.0189,2011-03-10
0.0687,2011-03-11
0.0619,2011-03-14
-0.0219,2011-03-15
-0.0599,2011-03-16
0.0479,2011-03-17
0.148,2011-03-18
0.0435,2011-03-21
0.1524,2011-03-22
0.1305,2011-03-23
0.0163,2011-03-24
0.0809,2011-03-25
0.0171,2011-03-28
0.0449,2011-03-29
0.1763,2011-03-30
0.1339,2011-03-31
0.1733,2011-04-01
0.0796,2011-04-04
0.0225,2011-04-05
-0.0072,2011-04-06
0.0746,2011-04-07
-0.0067,2011-04-08
-0.0142,2011-04-11
-0.031,2011-04-12
-0.0158,2011-04-13
0.0456,2011-04-14
0.0837,2011-04-15
-0.1156,2011-04-18
0.1106,2011-04-19
0.1145,2011-04-20
-0.0298,2011-04-25
0.0746,2011-04-26
0.0035,2011-04-27
0.0036,2011-04-28
0.0986,2011-04-29
0.0223,2011-05-02
-0.0723,2011-05-03
-0.0285,2011-05-04
0.0013,2011-05-05
0.106,2011-05-06
0.0634,2011-05-09
0.0807,2011-05-10
-0.0539,2011-05-11
0.0648,2011-05-12
-0.0331,2011-05-13
0.0249,2011-05-16
0.1101,2011-05-17
-0.063,2011-05-18
-0.0401,2011-05-19
0.0362,2011-05-20
